sku,date,demand_units
84077,2011-11-19,0
84077,2011-11-20,96
84077,2011-11-21,348
84077,2011-11-22,97
84077,2011-11-23,257
84077,2011-11-24,19
84077,2011-11-25,50
84077,2011-11-26,0
84077,2011-11-27,96
84077,2011-11-28,58
23203,2011-11-01,109
23203,2011-11-02,61
23203,2011-11-03,99
23203,2011-11-04,65
23203,2011-11-05,0
23203,2011-11-06,81
23203,2011-11-07,384
23203,2011-11-08,60
23203,2011-11-09,883
23203,2011-11-10,145
23203,2011-11-11,144
23203,2011-11-12,0
23203,2011-11-13,58
23203,2011-11-14,576
23203,2011-11-15,72
23203,2011-11-16,89
23203,2011-11-17,214
23203,2011-11-18,47
23203,2011-11-19,0
23203,2011-11-20,54
23203,2011-11-21,14
23203,2011-11-22,19
23203,2011-11-23,222
23203,2011-11-24,143
23203,2011-11-25,45
23203,2011-11-26,0
23203,2011-11-27,42
23203,2011-11-28,57
21915,2011-11-01,279
21915,2011-11-02,27
21915,2011-11-03,2158
21915,2011-11-04,80
21915,2011-11-05,0
21915,2011-11-06,54
21915,2011-11-07,575
21915,2011-11-08,59
21915,2011-11-09,13
21915,2011-11-10,8
21915,2011-11-11,6
21915,2011-11-12,0
21915,2011-11-13,0
21915,2011-11-14,285
21915,2011-11-15,36
21915,2011-11-16,22
21915,2011-11-17,5
21915,2011-11-18,3
21915,2011-11-19,0
21915,2011-11-20,0
21915,2011-11-21,3
21915,2011-11-22,1
21915,2011-11-23,18
21915,2011-11-24,0
21915,2011-11-25,0
21915,2011-11-26,0
21915,2011-11-27,0
21915,2011-11-28,0
22910,2011-11-01,178
22910,2011-11-02,165
22910,2011-11-03,32
22910,2011-11-04,86
22910,2011-11-05,0
22910,2011-11-06,48
22910,2011-11-07,204
22910,2011-11-08,76
22910,2011-11-09,147
22910,2011-11-10,161
22910,2011-11-11,58
22910,2011-11-12,0
22910,2011-11-13,22
22910,2011-11-14,417
22910,2011-11-15,179
22910,2011-11-16,119
22910,2011-11-17,159
22910,2011-11-18,214
22910,2011-11-19,0
22910,2011-11-20,128
22910,2011-11-21,103
22910,2011-11-22,269
22910,2011-11-23,307
22910,2011-11-24,121
22910,2011-11-25,185
22910,2011-11-26,0
22910,2011-11-27,38
22910,2011-11-28,151
